weight,measured,fitted,residual
1.000,22811.00,41545.77,-18734.77
1.000,52488.00,41545.77,10942.23
1.000,48012.00,41545.77,6466.23
1.000,54121.00,41545.77,12575.23
2.000,63056.00,64206.60,-1150.60
2.000,63167.00,64206.60,-1039.60
2.000,61469.00,64206.60,-2737.60
3.000,81037.00,86867.42,-5830.42
3.000,71411.00,86867.42,-15456.42
3.000,87764.00,86867.42,896.58
4.000,114108.00,109528.25,4579.75
4.000,110959.00,109528.25,1430.75
4.000,110398.00,109528.25,869.75
5.000,124671.00,132189.08,-7518.08
5.000,138735.00,132189.08,6545.92
5.000,144038.00,132189.08,11848.92
6.000,151162.00,154849.91,-3687.91
