weight,measured,fitted,residual
1.4,-18461,-36992.56,18531.56
2,-24498,-39840.97,15342.97
3.4,-47759,-46487.27,-1271.73
5,-131798,-54083.03,-77714.97
11.9,-242294,-86839.77,-155454.23
