weight,measured,fitted,residual
0.2,-6658,-22161.46,15503.46
0.6,-11622,-30682.86,19060.86
0.7,-12745,-32813.21,20068.21
1.3,-72329,-45595.3,-26733.7
1.6,-38021,-51986.34,13965.34
2,-51910,-60507.74,8597.74
2.2,-98449,-64768.44,-33680.56
2,-44828,-60507.74,15679.74
3,-67461,-81811.23,14350.23
4,-106721,-103114.71,-3606.29
3,-56471,-81811.23,25340.23
5,-104029,-124418.2,20389.2
6.7,-167382,-160634.13,-6747.88
7.8,-229112,-196850.06,-32261.94
8.5,-218391,-198980.41,-19410.59
9.5,-239251,-220283.89,-18967.11
10.2,-228211,-235196.33,6985.33
12.1,-226426,-275672.94,49246.94
13.1,-307678,-296976.44,-10701.56
